"Num","Electorate","Candidate.Surname","Candidate.Given.names","Party","Winner"
14,"Hamilton West","MORONEY","Sue","Labour"
14,"Hamilton West","MUTI","Sara","ACT"
14,"Hamilton West","RHODES","Mischele","Democrats for Social Credit"
14,"Hamilton West","TE AO","Richard","Māori"
15,"Helensville","BRIGHT","Penny","Independent"
15,"Helensville","DOUGHERTY","Deborah","Conservative"
15,"Helensville","GRAHAM","Kennedy","Green"
15,"Helensville","HADDOCK","Corie Jon","Labour"
15,"Helensville","HARRÉ","Laila","Internet Party"
15,"Helensville","KEY","John","National",1
15,"Helensville","PIRRIE","Phelan","ACT"
15,"Helensville","WHYTE","Brendan","Independent"
16,"Hunua","BAYLY","Andrew","National",1
16,"Hunua","CUMMINGS","Ian","ACT"
16,"Hunua","HUDSON","Neville","Conservative"
16,"Hunua","MITCHELL","Huia","Democrats for Social Credit"
16,"Hunua","PHILLIPS","Thomas T T","Māori"
16,"Hunua","REEVES","Jon","NZ First"
16,"Hunua","WILLIAMS","Arena","Labour"
17,"Hutt South","BISHOP","Chris","National"
17,"Hutt South","COPELAND","Gordon","Conservative"
17,"Hutt South","MALLARD","Trevor","Labour",1
17,"Hutt South","O'SULLIVAN","Grae","ACT"
17,"Hutt South","PAJAK","Jan","Independent"
17,"Hutt South","PARORO","Mataroa","NZ First"
17,"Hutt South","STONYER","Dave","United Future"
17,"Hutt South","WALKER","Holly","Green"
18,"Ilam","BALLANTINE","Beverley","Internet Party"
18,"Ilam","BROWNLEE","Gerry","National",1
18,"Ilam","DANN","James Macbeth","Labour"
18,"Ilam","KELCHER","John","Green"
18,"Ilam","STRINGER","John","Conservative"
18,"Ilam","VEALE","Gareth","ACT"
18,"Ilam","WAKEFIELD","Benita","Māori"
19,"Invercargill","BOND","Ria","NZ First"
19,"Invercargill","DE RUYTER","Stephnie","Democrats for Social Credit"
19,"Invercargill","DOWIE","Sarah","National",1
19,"Invercargill","KENNEDY","David","Green"
19,"Invercargill","SOPER","Lesley","Labour"
19,"Invercargill","STORR","Laura","Conservative"
20,"Kaikōura","BROWNING","Steffan","Green"
20,"Kaikōura","CAMPBELL","Steve","NZ First"
20,"Kaikōura","EVANS","Richard","ACT"
20,"Kaikōura","HOWARD","Ted","Money Free Party"
20,"Kaikōura","HUDSON","Howard","Conservative"
20,"Kaikōura","McCASKEY","John","Democrats for Social Credit"
20,"Kaikōura","SMITH","Stuart","National",1
20,"Kaikōura","TOMLINSON","Glen","Ban1080"
20,"Kaikōura","WALKER","Janette","Labour"
21,"Kelston","DEGIA-PALA","Anne","NZ First"
21,"Kelston","HAYCOCK","Bruce","ACT"
21,"Kelston","IRWIN","Ruth","Green"
21,"Kelston","LYE","Jeff","Aotearoa Legalise Cannabis Party"
21,"Kelston","PENK","Christopher","National"
21,"Kelston","SAMI","Roshni","Internet Party"
21,"Kelston","SEPULONI","Carmel","Labour",1
21,"Kelston","SOMMER","Paul","Conservative"
21,"Kelston","WOOLSTON","Jason","United Future"
22,"Mana","BARRY","Roy","Conservative"
22,"Mana","ENGLAND","Ron","Democrats for Social Credit"
22,"Mana","FAAFOI","Kris","Labour",1
22,"Mana","GOODE","Richard","Aotearoa Legalise Cannabis Party"
22,"Mana","LOGIE","Jan","Green"
22,"Mana","PARATA","Hekia","National"
23,"Māngere","PAPALI'I","James","Internet Mana"
23,"Māngere","SAAFI","Edward","Conservative"
23,"Māngere","SIO","Sua William","Labour",1
23,"Māngere","STRICKSON-PUA","Muamua Sofi","Green"
23,"Māngere","TURNER","Misa Fia","National"
24,"Manukau East","BAKSHI","Kanwal","National"
24,"Manukau East","LOLE-TAYLOR","Asenati","NZ First"
24,"Manukau East","PERINPANAYAGAM","Umesh","Green"
24,"Manukau East","SALESA","Jenny","Labour",1
24,"Manukau East","TAUKOLO","Vili M","Conservative"
24,"Manukau East","TRINDER","Joe","Internet Mana"
24,"Manukau East","VERMUNT","Annalucia","Communist League"
25,"Manurewa","BHANA","Raewyn","Māori"
25,"Manurewa","BROWN","Simeon","National"
25,"Manurewa","DAINTY","Yvonne","Internet Mana"
25,"Manurewa","HALL","John H","NZ First"
25,"Manurewa","IKILEI","Elliot Ewen Pasione","Conservative"
25,"Manurewa","TUPOU","Trish","Green"
25,"Manurewa","WALL","Louisa Hareruia","Labour",1
26,"Maungakiekie","BEAUMONT","Carol","Labour"
26,"Maungakiekie","COGGAN","Felicity","Communist League"
26,"Maungakiekie","FINAU","Sitaleki","Internet Mana"
26,"Maungakiekie","LECKINGER","Richard","Green"
26,"Maungakiekie","LOTU-IIGA","Peseta Sam","National",1
26,"Maungakiekie","MOCKRIDGE","Bryan","United Future"
26,"Maungakiekie","SIMPSON","Litia","Conservative"
27,"Mt Albert","CAROLAN","Joe","Internet Mana"
27,"Mt Albert","ELLEY","Jeanette","Green"
27,"Mt Albert","FERGUSSON","Tommy","ACT"
27,"Mt Albert","JOHNSON","Jeffrey","Conservative"
27,"Mt Albert","LEE","Melissa","National"
27,"Mt Albert","SHEARER","David","Labour",1
27,"Mt Albert","VAN DEN HEUVEL","Anthony Joseph","Human Rights Party"
27,"Mt Albert","WACKROW","Michael","Independent"
28,"Mt Roskill","BINDRA","Mahesh","NZ First"
28,"Mt Roskill","COATES","Barry","Green"
28,"Mt Roskill","DAVIE","Paul","Conservative"
28,"Mt Roskill","GOFF","Phil","Labour",1
28,"Mt Roskill","MINTO","John","Internet Mana"
28,"Mt Roskill","PARMAR","Parmjeet","National"
29,"Napier","BAILEY","Paul","Green"
29,"Napier","McVICAR","Garth","Conservative"
29,"Napier","NASH","Stuart","Labour",1
29,"Napier","O'NEILL","Mary","Alliance"
29,"Napier","PULFORD","Barry","Democrats for Social Credit"
29,"Napier","WALFORD","Wayne","National"
30,"Nelson","BAYLY","Adrian James","Democrats for Social Credit"
30,"Nelson","GREEN","John","Conservative"
30,"Nelson","HUFFLETT","Paul","ACT"
30,"Nelson","OSMASTON","Richard","Money Free Party"
30,"Nelson","ROBERTSON","Colin","Green"
30,"Nelson","SMITH","Nick","National",1
30,"Nelson","STREET","Maryan","Labour"
31,"New Lynn","CUNLIFFE","David","Labour",1
31,"New Lynn","GROSER","Tim","National"
31,"New Lynn","LEITCH","Andrew","Democrats for Social Credit"
31,"New Lynn","ROGERS","Daniel","Green"
31,"New Lynn","TAYLOR","Steve","Conservative"
32,"New Plymouth","DOMBROSKI","Jamie","Aotearoa Legalise Cannabis Party"
32,"New Plymouth","GRAY","James","ACT"
32,"New Plymouth","LITTLE","Andrew","Labour"
32,"New Plymouth","ROBERTS","Sarah","Green"
32,"New Plymouth","STORR","Angela","Conservative"
32,"New Plymouth","YOUNG","Jonathan","National",1
33,"North Shore","BARRY","Maggie","National",1
33,"North Shore","KEARNEY","Nick","ACT"
33,"North Shore","LEITCH","Tim","Democrats for Social Credit"
33,"North Shore","PERKIN","Melissa","Conservative"
33,"North Shore","STANSFIELD","Brett","Green"
33,"North Shore","SZABÓ","Claire","Labour"
34,"Northcote","COLEMAN","Jonathan","National",1
34,"Northcote","HILLS","Richard","Labour"
34,"Northcote","HO","Gil","Internet Party"
34,"Northcote","KRONFELD","Tim","ACT"
34,"Northcote","LIGHT","Damian","United Future"
34,"Northcote","SMITHSON","Anne-Elise","Green"
34,"Northcote","WEBSTER","Matthew James","Conservative"
35,"Northland","CLENDON","David","Green"
35,"Northland","NELSON","Craig","ACT"
35,"Northland","PRIME","Willow-Jean","Labour"
35,"Northland","RINTOUL","Ken","Focus New Zealand"
35,"Northland","ROBERTSON","Murray","Independent"
35,"Northland","SABIN","Mike","National",1
35,"Northland","TAYLOR","Mel","Conservative"
35,"Northland","TIMMS","Glen","Money Free Party"
35,"Northland","WILSON","David Angus","Democrats for Social Credit"
36,"Ōhāriu","ANDERSEN","Virginia","Labour"
36,"Ōhāriu","BRUNNER","Michael","Conservative"
36,"Ōhāriu","DUNNE","Peter","United Future",1
36,"Ōhāriu","FITZPATRICK","Sean Daniel Thomas","ACT"
36,"Ōhāriu","HAMILL","Sue","Independent"
36,"Ōhāriu","HUDSON","Brett","National"
36,"Ōhāriu","STEEMSON","Alida","Democrats for Social Credit"
36,"Ōhāriu","WOODLEY","Tane","Green"
37,"Ōtaki","DREW","Maddy","Green"
37,"Ōtaki","GUY","Nathan","National",1
37,"Ōtaki","LOVELOCK","Anne","Conservative"
37,"Ōtaki","McCANN","Rob","Labour"
37,"Ōtaki","MACDONALD","Frederick John","Independent"
37,"Ōtaki","VICKERS","Amanda","Independent"
38,"Pakuranga","CRAIG","Andrew","Conservative"
38,"Pakuranga","KIRKER","Barry","Labour"
38,"Pakuranga","WHYTE","Jamie","ACT"
38,"Pakuranga","WILLIAMSON","Maurice","National",1
39,"Palmerston North","BALL","Darroch","NZ First"
39,"Palmerston North","FARVID","Pani","Internet Party"
39,"Palmerston North","LEES-GALLOWAY","Iain","Labour",1
39,"Palmerston North","NAYLOR","Jono","National"
39,"Palmerston North","PEARCE","Mark","Conservative"
40,"Papakura","CATCHPOLE","Brent","NZ First"
40,"Papakura","COLLINS","Judith","National",1
40,"Papakura","CONROY","Caroline","Green"
40,"Papakura","FOWLER","Roger","Internet Mana"
40,"Papakura","KENDALL","Ann","Māori"
40,"Papakura","MIKA","Jerome","Labour"
40,"Papakura","STITT","Kevin","Conservative"
40,"Papakura","THOMPSON","John","ACT"
41,"Port Hills","BROSNAN","Chris","Conservative"
41,"Port Hills","DYSON","Ruth","Labour",1
41,"Port Hills","GRIBBEN","Gary J","Democrats for Social Credit"
41,"Port Hills","KORAKO","Nuk","National"
41,"Port Hills","O'ROURKE","Denis","NZ First"
41,"Port Hills","RUSSELL","Geoff","ACT"
41,"Port Hills","SAGE","Eugenie","Green"
42,"Rangitata","CORBETT","Tom","ACT"
42,"Rangitata","GIBSON","Steven","Labour"
42,"Rangitata","GOODHEW","Jo","National",1
42,"Rangitata","VITALI","Oliver","Conservative"
43,"Rangitīkei","BROWN","Roy","Conservative"
43,"Rangitīkei","McKELVIE","Ian","National",1
43,"Rangitīkei","RUDZKI","Romuald Edward John","NZ First"
43,"Rangitīkei","RUSSELL","Deborah","Labour"
43,"Rangitīkei","WILSON","Neil","ACT"
44,"Rimutaka","HIPKINS","Chris","Labour",1
44,"Rimutaka","HOLDEN","Lewis","National"
44,"Rimutaka","HUNT","Aaron","NZ First"
44,"Rimutaka","LYNCH","Philip Michael","Conservative"
44,"Rimutaka","RUTHVEN","Susanne","Green"
45,"Rodney","BOLT","Eric","Labour"
45,"Rodney","HEYNS","Anton","Conservative"
45,"Rodney","HOULBROOKE","Beth","ACT"
45,"Rodney","McALL","Malcolm","Green"
45,"Rodney","MARTIN","Tracey","NZ First"
45,"Rodney","MITCHELL","Mark","National",1
46,"Rongotai","CARTER","Aaron","Climate Party"
46,"Rongotai","EUSOFF","Sultan","United Future"
46,"Rongotai","FINLAYSON","Christopher","National"
46,"Rongotai","KING","Annette","Labour",1
46,"Rongotai","NORMAN","Russel","Green"
46,"Rongotai","OVERTON","John","Patriotic Revolutionary Front"
46,"Rongotai","PARETUTANGANUI-TAMATI","Ariana","Internet Mana"
46,"Rongotai","PIERSON","Brent","NZ First"
46,"Rongotai","RICHARDS","Don","Independent"
46,"Rongotai","WELSH","Bruce","Conservative"
47,"Rotorua","COFFEY","Tamati Gerald","Labour"
47,"Rotorua","DAVIDSON","Michael","Conservative"
