"ACT","Conservative","Green","Labour","Māori","National","NZ First","Internet Mana","United Future"
"RUSSELL, Geoff","","CONROY, Caroline","WOOD, Michael Philip","","HUDSON, Brett","","",""
"THOMPSON, John","","COUTTS, Sue","WILLIAMS, Arena","","BARRY, Maggie","","",""
"WILSON, Neil","","DOHERTY, Paul","McDOUALL, Hamish","","McKELVIE, Ian","","",""
"","","DREW, Maddy","RAHMAN, Anjum","","MITCHELL, Mark","","",""
"","","GALLAGHER, Shane","KAUSHAL, Sunny","","O'CONNOR, Simon","","",""
"","","HILL, Peter Selwyn","GREER, Christine","","SABIN, Mike","","",""
"","","IRWIN, Ruth","GAYLOR, Penny","","SIMPSON, Scott","","",""
"","","KANI, Henare","WALKER, Janette","","FOSTER-BELL, Paul","","",""
"","","MACLEAN, Gavin","HILLS, Richard","","HAYES, Jo","","",""
"","","MAYNE, Nicholas","HALBERT, Shanan Kiritea","","PARMAR, Parmjeet","","",""
"","","McLEAN, Ian","KANONGATA'A-SUISUIKI, Anahila","","BISHOP, Chris","","",""
"","","MOORE, Robert","WILSON, Clare","","KORAKO, Nuk","","",""
"","","ROBERTS, Sarah","DANN, James Macbeth","","NAYLOR, Jono","","",""
"","","ROBERTSON, Colin","ELLIS, Kelly","","PUGH, Maureen","","",""
"","","ROBINSON, Dave","HADDOCK, Corie Jon","","TURNER, Misa Fia","","",""
"","","SERVIAN, Mark","STRANGE, Jamie","","BARCLAY, Todd","","",""
"","","SIGGAARD, Dorthe","PAUL, Katie","","BAYLY, Andrew","","",""
"","","STANSFIELD, Brett","GIBSON, Steven","","DOOCEY, Matt","","",""
"","","STEWART, Gary","WU, Chao-Fu","","DOWIE, Sarah","","",""
"","","STRICKSON-PUA, Muamua Sofi","GRIMSHAW, Paul","","KURIGER, Barbara","","",""
"","","TUPOU, Trish","DORREEN, Tracey","","MULLER, Todd","","",""
"","","","MAMEDOV, Tofik","","RETI, Shane","","",""
"","","","TOROA, Hikiera","","SCOTT, Alastair","","",""
"","","","TYLER, Hugh","","SMITH, Stuart","","",""
"","","","ELLIOTT, Susan","","WALFORD, Wayne","","",""
"","","","BUCKINGHAM, Simon","","BROWN, Simeon","","",""
"","","","","","WALKER, Hamish","","",""
